User,Fact,Time,Product,Gender,Amount
100,User,20/12/2012,App1,M,
101,User,20/12/2012,App1,F,
102,User,20/12/2012,App1,F,
103,User,20/12/2012,App1,M,
104,User,20/12/2012,App1,F,
105,User,20/12/2012,App1,M,
106,User,20/12/2012,App1,M,
107,User,20/12/2012,App1,F,
108,User,21/12/2012,App1,M,
109,User,21/12/2013,App1,F,
110,User,21/12/2014,App1,F,
111,User,21/12/2015,App1,M,
112,User,21/12/2016,App1,F,
113,User,21/12/2017,App1,f,
114,User,21/12/2018,App1,f,
115,User,20/12/2012,App1,F,
100,Session,20/12/2012,App1,,
102,Session,20/12/2012,App1,,
107,Session,20/12/2012,App1,,
101,Transaction,21/12/2018,App1,,100
106,Transaction,20/12/2012,App1,,150
116,User,20/12/2012,App2,M,
116,User,20/12/2012,App2,M,
116,User,20/12/2012,App2,F,
116,User,20/12/2012,App2,M,
116,User,20/12/2012,App2,F,
116,User,20/12/2012,App2,F,
116,User,20/12/2012,App2,M,
116,User,20/12/2012,App2,F,
101,Transaction,21/12/2018,App2,,100
106,Transaction,20/12/2012,App2,,150
